code,description,last_updated
A00,,2025-09-12
A000,"Cholera due to Vibrio cholerae 01, biovar cholerae",2025-09-12
A001,"Cholera due to Vibrio cholerae 01, biovar eltor",2025-09-12
A009,"Cholera, unspecified",2025-09-12
A01,,2025-09-12
A010,Typhoid fever,2025-09-12
A011,Paratyphoid fever A,2025-09-12
A012,Paratyphoid fever B,2025-09-12
A013,Paratyphoid fever C,2025-09-12
A014,"Paratyphoid fever, unspecified",2025-09-12
A02,,2025-09-12
A020,Salmonella enteritis,2025-09-12
A021,Salmonella sepsis,2025-09-12
A022,Localized salmonella infections,2025-09-12
A028,Other specified salmonella infections,2025-09-12
A029,"Salmonella infection, unspecified",2025-09-12
A03,,2025-09-12
A030,Shigellosis due to Shigella dysenteriae,2025-09-12
A031,Shigellosis due to Shigella flexneri,2025-09-12
A032,Shigellosis due to Shigella boydii,2025-09-12
A033,Shigellosis due to Shigella sonnei,2025-09-12
A038,Other shigellosis,2025-09-12
A039,"Shigellosis, unspecified",2025-09-12
A04,,2025-09-12
A040,Enteropathogenic Escherichia coli infection,2025-09-12
A041,Enterotoxigenic Escherichia coli infection,2025-09-12
A042,Enteroinvasive Escherichia coli infection,2025-09-12
A043,Enterohaemorrhagic Escherichia coli infection,2025-09-12
A044,Other intestinal Escherichia coli infections,2025-09-12
A045,Campylobacter enteritis,2025-09-12
A046,Enteritis due to Yersinia enterocolitica,2025-09-12
A047,Enterocolitis due to Clostridium difficile,2025-09-12
A048,Other specified bacterial intestinal infections,2025-09-12
A049,"Bacterial intestinal infection, unspecified",2025-09-12
A05,,2025-09-12
A050,Foodborne staphylococcal intoxication,2025-09-12
A051,Botulism,2025-09-12
A052,Foodborne Clostridium perfringens [Clostridium welchii] intoxication,2025-09-12
A053,Foodborne Vibrio parahaemolyticus intoxication,2025-09-12
A054,Foodborne Bacillus cereus intoxication,2025-09-12
A058,Other specified bacterial foodborne intoxications,2025-09-12
A059,"Bacterial foodborne intoxication, unspecified",2025-09-12
A06,,2025-09-12
A060,Acute amoebic dysentery,2025-09-12
A061,Chronic intestinal amoebiasis,2025-09-12
A062,Amoebic nondysenteric colitis,2025-09-12
A063,Amoeboma of intestine,2025-09-12
A064,Amoebic liver abscess,2025-09-12
A065,Amoebic lung abscess,2025-09-12
A066,Amoebic brain abscess,2025-09-12
A067,Cutaneous amoebiasis,2025-09-12
A068,Amoebic infection of other sites,2025-09-12
A069,"Amoebiasis, unspecified",2025-09-12
A07,,2025-09-12
A070,Balantidiasis,2025-09-12
A071,Giardiasis [lambliasis],2025-09-12
A072,Cryptosporidiosis,2025-09-12
A073,Isosporiasis,2025-09-12
A078,Other specified protozoal intestinal diseases,2025-09-12
A079,"Protozoal intestinal disease, unspecified",2025-09-12
A08,,2025-09-12
A080,Rotaviral enteritis,2025-09-12
A081,Acute gastroenteropathy due to Norovirus,2025-09-12
A082,Adenoviral enteritis,2025-09-12
A083,Other viral enteritis,2025-09-12
A084,"Viral intestinal infection, unspecified",2025-09-12
A085,Other specified intestinal infections,2025-09-12
A09,,2025-09-12
A090,Other and unspecified gastroenteritis and colitis of infectious origin,2025-09-12
A099,Gastroenteritis and colitis of unspecified origin,2025-09-12
A15,,2025-09-12
A150,"Tuberculosis of lung, confirmed by sputum microscopy with or without culture",2025-09-12
A151,"Tuberculosis of lung, confirmed by culture only",2025-09-12
A152,"Tuberculosis of lung, confirmed histologically",2025-09-12
A153,"Tuberculosis of lung, confirmed by unspecified means",2025-09-12
A154,"Tuberculosis of intrathoracic lymph nodes, confirmed bacteriologically and histologically",2025-09-12
A155,"Tuberculosis of larynx, trachea and bronchus, confirmed bacteriologically and histologically",2025-09-12
A156,"Tuberculous pleurisy, confirmed bacteriologically and histologically",2025-09-12
A157,"Primary respiratory tuberculosis, confirmed bacteriologically and histologically",2025-09-12
A158,"Other respiratory tuberculosis, confirmed bacteriologically and histologically",2025-09-12
A159,"Respiratory tuberculosis unspecified, confirmed bacteriologically and histologically",2025-09-12
A16,,2025-09-12
A160,"Tuberculosis of lung, bacteriologically and histologically negative",2025-09-12
A161,"Tuberculosis of lung, bacteriological and histological examination not done",2025-09-12
A162,"Tuberculosis of lung, without mention of bacteriological or histological confirmation",2025-09-12
A163,"Tuberculosis of intrathoracic lymph nodes, without mention of bacteriological or histological confirmation",2025-09-12
A164,"Tuberculosis of larynx, trachea and bronchus, without mention of bacteriological or histological confirmation",2025-09-12
A165,"Tuberculous pleurisy, without mention of bacteriological or histological confirmation",2025-09-12
A167,Primary respiratory tuberculosis without mention of bacteriological or histological confirmation,2025-09-12
A168,"Other respiratory tuberculosis, without mention of bacteriological or histological confirmation",2025-09-12
A169,"Respiratory tuberculosis unspecified, without mention of bacteriological or histological confirmation",2025-09-12
A17,,2025-09-12
A170,Tuberculous meningitis,2025-09-12
A171,Meningeal tuberculoma,2025-09-12
A178,Other tuberculosis of nervous system,2025-09-12
A179,"Tuberculosis of nervous system, unspecified",2025-09-12
A18,,2025-09-12
A180,Tuberculosis of bones and joints,2025-09-12
A181,Tuberculosis of genitourinary system,2025-09-12
A182,Tuberculous peripheral lymphadenopathy,2025-09-12
A183,"Tuberculosis of intestines, peritoneum and mesenteric glands",2025-09-12
A184,Tuberculosis of skin and subcutaneous tissue,2025-09-12
A185,Tuberculosis of eye,2025-09-12
A186,Tuberculosis of ear,2025-09-12
